,0
0,Mar 29
1,May 10
2,Jan 18
3,Mar 29
4,Feb 22
5,Feb 1
6,Jan 18
7,Jan 19
8,Jan 11
9,Feb 8
10,Mar 15
11,Mar 15
12,Jan 25
13,Feb 15
14,Apr 19
15,Mar 8
16,Mar 8
17,Feb 8
18,Apr 19
19,Feb 8
20,Jul 26
21,Feb 1
22,Jan 17
23,Jan 16
24,-
25,May 31
26,Apr 5
27,Feb 15
28,Feb 15
29,Feb 15
30,Mar 1
31,Jan 25
32,Mar 1
33,Mar 29
34,Mar 22
35,Jan 21
36,May 10
37,Jul 16
38,Feb 25
39,Mar 11
40,Feb 1
41,Mar 8
42,Feb 15
43,May 3
44,Feb 1
45,Feb 22
46,Apr 19
47,-
48,Feb 7
49,Jan 30
50,Jun 14
51,Feb 1
52,May 20
53,Mar 1
54,Apr 5
55,Feb 22
56,Mar 22
57,Mar 15
58,Feb 8
59,Mar 29
60,Feb 4
61,Feb 25
62,May 17
63,Mar 22
64,Apr 8
65,Feb 11
66,Apr 5
67,Mar 4
68,Jun 14
69,Mar 8
70,Feb 22
71,Apr 12
72,Mar 15
73,-
74,Feb 14
75,Feb 12
76,May 17
77,Apr 19
78,Feb 25
79,Mar 8
80,Mar 15
81,Apr 5
82,May 10
83,Apr 5
84,Mar 8
85,Mar 29
86,Mar 15
87,Jun 28
88,Mar 1
89,Aug 9
90,Mar 8
91,May 10
92,Apr 12
93,-
94,Feb 21
95,Feb 22
96,Feb 22
97,Mar 22
98,-
99,-
100,-
101,Mar 1
102,Apr 19
103,Feb 25
104,May 17
105,-
106,Jun 21
107,Apr 1
108,Apr 19
109,Mar 15
110,Apr 5
111,Apr 12
112,Feb 28
113,Mar 1
114,Feb 28
115,Mar 1
116,-
117,Mar 22
118,Jun 21
119,May 17
120,-
121,May 31
122,-
123,Mar 8
124,Jul 5
125,Jun 7
126,Jul 5
127,Jun 21
128,May 10
129,Mar 4
130,Nov 8
131,Mar 8
132,Jul 22
133,May 17
134,May 31
135,Apr 5
136,Apr 26
137,Jul 26
138,Mar 22
