,0
0,Jan 5
1,Jan 5
2,Jan 5
3,Jan 5
4,Jan 5
5,Jan 5
6,Jan 5
7,Jan 10
8,Jan 11
9,Jan 12
10,Jan 12
11,Jan 12
12,Jan 12
13,Jan 12
14,Jan 12
15,Jan 12
16,Jan 12
17,Jan 12
18,Jan 12
19,Jan 12
20,Jan 12
21,Jan 12
22,Jan 13
23,Jan 14
24,Jan 16
25,Jan 17
26,Jan 18
27,Jan 19
28,Jan 19
29,Jan 19
30,Jan 19
31,Jan 19
32,Jan 19
33,Jan 19
34,Jan 19
35,Jan 19
36,Jan 19
37,Jan 21
38,Jan 25
39,Jan 26
40,Jan 26
41,Jan 26
42,Jan 26
43,Jan 26
44,Jan 26
45,Jan 26
46,Jan 26
47,Jan 27
48,Jan 29
49,Jan 30
50,Jan 31
51,Feb 1
52,Feb 2
53,Feb 2
54,Feb 2
55,Feb 2
56,Feb 2
57,Feb 2
58,Feb 2
59,Feb 2
60,Feb 4
61,Feb 9
62,Feb 9
63,Feb 9
64,Feb 9
65,Feb 9
66,Feb 9
67,Feb 9
68,Feb 9
69,Feb 9
70,Feb 9
71,Feb 9
72,Feb 9
73,Feb 9
74,Feb 10
75,Feb 11
76,Feb 14
77,Feb 14
78,Feb 14
79,Feb 16
80,Feb 16
81,Feb 16
82,Feb 16
83,Feb 16
84,Feb 16
85,Feb 16
86,Feb 16
87,Feb 16
88,Feb 16
89,Feb 16
90,Feb 16
91,Feb 16
92,Feb 16
93,Feb 18
94,Feb 18
95,Feb 22
96,Feb 22
97,Feb 23
98,Feb 23
99,Feb 23
100,Feb 23
101,Feb 23
102,Feb 23
103,Feb 23
104,Feb 23
105,Feb 23
106,Feb 23
107,Feb 23
108,Feb 23
109,Feb 23
110,Feb 23
111,Feb 23
112,Feb 24
113,Feb 25
114,Feb 27
115,Feb 27
116,Feb 28
117,Mar 2
118,Mar 2
119,Mar 2
120,Mar 2
121,Mar 2
122,Mar 2
123,Mar 2
124,Mar 2
125,Mar 2
126,Mar 2
127,Mar 2
128,Mar 2
129,Mar 4
130,Mar 8
131,Mar 8
132,Mar 9
133,Mar 9
134,Mar 9
135,Mar 9
136,Mar 9
137,Mar 9
138,Mar 9
139,Mar 9
140,Mar 9
141,Mar 9
142,Mar 9
143,Mar 9
144,Mar 9
145,Mar 10
146,Mar 11
147,Mar 15
148,Mar 16
149,Mar 16
150,Mar 16
151,Mar 16
152,Mar 16
153,Mar 16
154,Mar 16
155,Mar 16
156,Mar 16
157,Mar 16
158,Mar 16
159,Mar 16
160,Mar 16
161,Mar 18
162,Mar 19
163,Mar 22
164,Mar 23
165,Mar 23
166,Mar 23
167,Mar 23
168,Mar 23
169,Mar 23
170,Mar 23
171,Mar 23
172,Mar 23
173,Mar 23
174,Mar 23
175,Mar 23
176,Mar 23
177,Mar 23
178,Mar 23
179,Mar 23
180,Mar 23
181,Mar 23
182,Mar 23
183,Mar 23
184,Mar 23
185,Mar 24
186,Mar 25
187,Mar 29
188,Mar 30
189,Mar 30
190,Mar 30
191,Mar 30
192,Mar 30
193,Mar 30
194,Mar 30
195,Mar 30
196,Mar 30
197,Mar 30
198,Mar 30
199,Mar 30
200,Mar 30
201,Mar 30
202,Mar 30
203,Mar 31
204,Apr 4
205,Apr 5
206,Apr 6
207,Apr 6
208,Apr 6
209,Apr 6
210,Apr 6
211,Apr 6
212,Apr 6
213,Apr 6
214,Apr 6
215,Apr 6
216,Apr 6
217,Apr 6
218,Apr 6
219,Apr 6
220,Apr 6
221,Apr 8
222,Apr 8
223,Apr 11
224,Apr 11
225,Apr 12
226,Apr 13
227,Apr 13
228,Apr 13
229,Apr 13
230,Apr 13
231,Apr 13
232,Apr 13
233,Apr 13
234,Apr 13
235,Apr 13
236,Apr 13
237,Apr 13
238,Apr 13
239,Apr 13
240,Apr 13
241,Apr 13
242,Apr 13
243,Apr 13
244,Apr 14
245,Apr 14
246,Apr 15
247,Apr 16
248,Apr 17
249,Apr 18
250,Apr 20
251,Apr 20
252,Apr 20
253,Apr 20
254,Apr 20
255,Apr 20
256,Apr 20
257,Apr 20
258,Apr 20
259,Apr 20
260,Apr 20
261,Apr 20
262,Apr 20
263,Apr 22
264,Apr 24
265,Apr 25
266,Apr 25
267,Apr 27
268,Apr 27
269,Apr 27
270,Apr 27
271,Apr 27
272,Apr 27
273,Apr 27
274,Apr 27
275,Apr 27
276,Apr 27
277,Apr 27
278,Apr 28
279,Apr 29
280,May 1
281,May 3
282,May 4
283,May 4
284,May 4
285,May 4
286,May 4
287,May 4
288,May 4
289,May 4
290,May 4
291,May 4
292,May 4
293,May 8
294,May 9
295,May 10
296,May 11
297,May 11
298,May 11
299,May 11
300,May 11
301,May 11
302,May 11
303,May 11
304,May 11
305,May 11
306,May 11
307,May 11
308,May 11
309,May 11
310,May 11
311,May 11
312,May 11
313,May 11
314,May 11
315,May 11
316,May 13
317,May 15
318,May 17
319,May 17
320,May 18
321,May 18
322,May 18
323,May 18
324,May 18
325,May 18
326,May 18
327,May 18
328,May 18
329,May 18
330,May 19
331,May 20
332,May 22
333,May 25
334,May 25
335,May 25
336,May 25
337,May 25
338,May 25
339,May 25
340,May 25
341,May 25
342,May 25
343,May 25
344,May 30
345,May 30
346,Jun 1
347,Jun 1
348,Jun 1
349,Jun 1
350,Jun 1
351,Jun 1
352,Jun 1
353,Jun 1
354,Jun 1
355,Jun 1
356,Jun 1
357,Jun 1
358,Jun 3
359,Jun 5
360,Jun 8
361,Jun 8
362,Jun 8
363,Jun 8
364,Jun 8
365,Jun 8
366,Jun 8
367,Jun 8
368,Jun 8
369,Jun 8
370,Jun 8
371,Jun 8
372,Jun 10
373,Jun 10
374,Jun 11
375,Jun 12
376,Jun 13
377,Jun 13
378,Jun 13
379,Jun 14
380,Jun 15
381,Jun 15
382,Jun 15
383,Jun 15
384,Jun 15
385,Jun 15
386,Jun 15
387,Jun 15
388,Jun 17
389,Jun 20
390,Jun 21
391,Jun 22
392,Jun 22
393,Jun 22
394,Jun 22
395,Jun 22
396,Jun 22
397,Jun 22
398,Jun 22
399,Jun 22
400,Jun 22
401,Jun 22
402,Jun 24
403,Jun 25
404,Jun 27
405,Jun 29
406,Jun 29
407,Jun 29
408,Jun 29
409,Jun 29
410,Jun 29
411,Jun 29
412,Jun 29
413,Jun 29
414,Jun 29
415,Jun 29
416,Jun 29
417,Jun 29
418,Jun 29
419,Jun 29
420,Jul 3
421,Jul 4
422,Jul 6
423,Jul 6
424,Jul 6
425,Jul 6
426,Jul 6
427,Jul 6
428,Jul 8
429,Jul 10
430,Jul 11
431,Jul 11
432,Jul 12
433,Jul 13
434,Jul 13
435,Jul 13
436,Jul 13
437,Jul 13
438,Jul 13
439,Jul 13
440,Jul 13
441,Jul 13
442,Jul 13
443,Jul 13
444,Jul 15
445,Jul 18
446,Jul 20
447,Jul 20
448,Jul 20
449,Jul 20
450,Jul 20
451,Jul 20
452,Jul 20
453,Jul 20
454,Jul 20
455,Jul 20
456,Jul 20
457,Jul 20
458,Jul 22
459,Jul 22
460,Jul 23
461,Jul 24
462,Jul 25
463,Jul 26
464,Jul 27
465,Jul 27
466,Jul 27
467,Jul 27
468,Jul 27
469,Jul 27
470,Jul 27
471,Jul 27
472,Jul 27
473,Jul 28
474,Jul 29
475,Aug 1
476,Aug 1
477,Aug 1
478,Aug 1
479,Aug 1
480,Aug 2
481,Aug 3
482,Aug 3
483,Aug 3
484,Aug 3
485,Aug 3
486,Aug 3
487,Aug 3
488,Aug 3
489,Aug 3
490,Aug 3
491,Aug 4
492,Aug 5
493,Aug 7
494,Aug 8
495,Aug 9
496,Aug 10
497,Aug 10
498,Aug 10
499,Aug 10
500,Aug 10
501,Aug 10
502,Aug 10
503,Aug 10
504,Aug 10
505,Aug 10
506,Aug 10
507,Aug 10
508,Aug 12
509,Aug 14
510,Aug 15
511,Aug 16
512,Aug 17
513,Aug 17
514,Aug 17
515,Aug 17
516,Aug 17
517,Aug 17
518,Aug 17
519,Aug 17
520,Aug 17
521,Aug 17
522,Aug 17
523,Aug 17
524,Aug 17
525,Aug 17
526,Aug 20
527,Aug 21
528,Aug 22
529,Aug 23
530,Aug 24
531,Aug 24
532,Aug 24
533,Aug 24
534,Aug 24
535,Aug 24
536,Aug 24
537,Aug 24
538,Aug 24
539,Aug 24
540,Aug 24
541,Aug 24
542,Aug 24
543,Aug 24
544,Aug 24
545,Aug 26
546,Aug 27
547,Aug 28
548,Aug 29
549,Aug 30
550,Aug 30
551,Aug 31
552,Aug 31
553,Aug 31
554,Aug 31
555,Aug 31
556,Aug 31
557,Aug 31
558,Aug 31
559,Aug 31
560,Aug 31
561,Sep 2
562,Sep 2
563,Sep 2
564,Sep 2
565,Sep 2
566,Sep 2
567,Sep 2
568,Sep 2
569,Sep 5
570,Sep 7
571,Sep 7
572,Sep 7
573,Sep 7
574,Sep 7
575,Sep 7
576,Sep 7
577,Sep 7
578,Sep 7
579,Sep 7
580,Sep 7
581,Sep 9
582,Sep 12
583,Sep 13
584,Sep 13
585,Sep 14
586,Sep 14
587,Sep 14
588,Sep 14
589,Sep 14
590,Sep 14
591,Sep 14
592,Sep 14
593,Sep 14
594,Sep 14
595,Sep 14
596,Sep 14
597,Sep 14
598,Sep 14
599,Sep 14
600,Sep 14
601,Sep 14
602,Sep 14
603,Sep 14
604,Sep 14
605,Sep 14
606,Sep 15
607,Sep 15
608,Sep 16
609,Sep 19
610,Sep 19
611,Sep 19
612,Sep 20
613,Sep 21
614,Sep 21
