,0
0,2018-03-29
1,2018-05-10
2,2018-01-18
3,2018-03-29
4,2018-02-22
5,2018-02-1
6,2018-01-18
7,2018-01-19
8,2018-01-11
9,2018-02-8
10,2018-03-15
11,2018-03-15
12,2018-01-25
13,2018-02-15
14,2018-04-19
15,2018-03-8
16,2018-03-8
17,2018-02-8
18,2018-04-19
19,2018-02-8
20,2018-07-26
21,2018-02-1
22,2018-01-17
23,2018-01-16
24,-
25,2018-05-31
26,2018-04-5
27,2018-02-15
28,2018-02-15
29,2018-02-15
30,2018-03-1
31,2018-01-25
32,2018-03-1
33,2018-03-29
34,2018-03-22
35,2018-01-21
36,2018-05-10
37,2018-07-16
38,2018-02-25
39,2018-03-11
40,2018-02-1
41,2018-03-8
42,2018-02-15
43,2018-05-3
44,2018-02-1
45,2018-02-22
46,2018-04-19
47,-
48,2018-02-7
49,2018-01-30
50,2018-06-14
51,2018-02-1
52,2018-05-20
53,2018-03-1
54,2018-04-5
55,2018-02-22
56,2018-03-22
57,2018-03-15
58,2018-02-8
59,2018-03-29
60,2018-02-4
61,2018-02-25
62,2018-05-17
63,2018-03-22
64,2018-04-8
65,2018-02-11
66,2018-04-5
67,2018-03-4
68,2018-06-14
69,2018-03-8
70,2018-02-22
71,2018-04-12
72,2018-03-15
73,-
74,2018-02-14
75,2018-02-12
76,2018-05-17
77,2018-04-19
78,2018-02-25
79,2018-03-8
80,2018-03-15
81,2018-04-5
82,2018-05-10
83,2018-04-5
84,2018-03-8
85,2018-03-29
86,2018-03-15
87,2018-06-28
88,2018-03-1
89,2018-08-9
90,2018-03-8
91,2018-05-10
92,2018-04-12
93,-
94,2018-02-21
95,2018-02-22
96,2018-02-22
97,2018-03-22
98,-
99,-
100,-
101,2018-03-1
102,2018-04-19
103,2018-02-25
104,2018-05-17
105,-
106,2018-06-21
107,2018-04-1
108,2018-04-19
109,2018-03-15
110,2018-04-5
111,2018-04-12
112,2018-02-28
113,2018-03-1
114,2018-02-28
115,2018-03-1
116,-
117,2018-03-22
118,2018-06-21
119,2018-05-17
120,-
121,2018-05-31
122,-
123,2018-03-8
124,2018-07-5
125,2018-06-7
126,2018-07-5
127,2018-06-21
128,2018-05-10
129,2018-03-4
130,2018-11-8
131,2018-03-8
132,2018-07-22
133,2018-05-17
134,2018-05-31
135,2018-04-5
136,2018-04-26
137,2018-07-26
138,2018-03-22
139,2018-06-21
140,2018-08-2
141,2018-05-10
142,2018-07-5
143,-
144,2018-03-29
145,-
146,2018-03-12
147,2018-06-28
148,-
149,2018-04-12
150,2018-04-26
151,2018-04-1
152,2018-04-1
153,2018-05-27
154,2018-06-14
155,2018-06-14
156,2018-07-12
157,2018-07-26
158,-
159,2018-05-31
160,2018-07-14
161,2018-03-21
162,2018-04-19
163,2018-03-22
164,2018-08-30
165,2018-07-26
166,2018-04-19
167,2018-06-14
168,2018-04-12
169,2018-04-8
170,2018-04-1
171,2018-05-28
172,2018-06-17
173,2018-06-21
174,2018-06-21
175,-
176,2018-05-17
177,2018-04-8
178,2018-05-10
179,2018-05-24
180,2018-03-25
181,2018-07-26
182,2018-03-29
183,2018-05-24
184,2018-05-31
185,2018-03-26
186,2018-03-28
187,2018-07-5
188,2018-07-26
189,2018-06-7
190,2018-04-19
191,2018-04-2
192,2018-04-19
193,2018-06-14
194,2018-05-17
195,2018-05-27
196,-
197,-
198,-
199,2018-06-7
200,2018-04-19
201,2018-04-22
202,2018-08-30
203,2018-04-4
204,2018-08-1
205,2018-04-5
206,2018-06-28
207,2018-05-3
208,2018-07-5
209,2018-06-14
210,-
211,2018-06-24
212,2018-05-3
213,2018-04-19
214,2018-07-15
215,2018-08-2
216,2018-07-12
217,-
218,2018-08-2
219,2018-08-1
220,2018-06-14
221,2018-07-9
222,2018-04-14
223,2018-06-14
224,2018-08-30
225,2018-04-12
226,2018-01-10
227,2018-07-26
228,2018-08-23
229,2018-12-13
230,2018-07-26
231,2018-12-6
232,2018-05-17
233,2018-07-19
234,-
235,-
236,2018-04-19
237,-
238,2018-05-3
239,2018-07-26
240,2018-04-26
241,2018-05-31
242,2018-05-17
243,-
244,2018-04-18
245,2018-05-31
246,2018-04-15
247,2018-04-16
248,2018-04-17
249,2018-05-3
250,2018-07-12
251,-
252,2018-05-31
253,-
254,2018-05-24
255,2018-05-17
256,2018-05-28
257,2018-05-3
258,2018-09-27
259,2018-09-9
260,-
261,2018-05-24
262,2018-06-21
263,2018-04-25
264,2018-04-24
265,2018-04-25
266,-
267,2018-05-17
268,2018-05-17
269,2018-07-26
270,2018-10-18
271,2018-08-5
272,2018-09-13
273,-
274,2018-08-2
275,-
276,2018-05-31
277,2018-06-21
278,2018-05-2
279,2018-05-3
280,2018-05-3
281,-
282,2018-09-13
283,2018-06-3
284,2018-05-17
285,2018-07-5
286,2018-05-24
287,2018-06-7
288,2018-10-11
289,2018-08-23
290,-
291,2018-05-17
292,2018-07-5
293,2018-05-8
294,2018-05-12
295,2018-05-10
296,2018-07-5
297,2018-06-14
298,2018-06-28
299,-
300,2018-06-21
301,2018-08-19
302,2018-07-15
303,2018-05-17
304,2018-06-7
305,2018-05-24
306,2018-07-26
307,-
308,-
309,2018-05-31
310,2018-06-7
311,2018-08-2
312,2018-08-2
313,2018-08-16
314,-
315,2018-08-9
316,2018-05-16
317,2018-05-15
318,2018-05-17
319,2018-05-17
320,2018-10-18
321,2018-07-15
322,2018-06-14
323,2018-06-14
324,-
325,2018-07-12
326,2018-08-2
327,2018-09-30
328,2018-10-11
329,2018-08-9
330,2018-05-19
331,2018-05-23
332,2018-05-22
333,-
334,2018-08-2
335,2018-06-14
336,2018-05-31
337,2018-09-20
338,2018-06-21
339,2018-09-27
340,2018-06-28
341,2018-06-10
342,2018-07-8
343,2018-08-16
344,2018-05-30
345,2018-11-1
346,2018-06-14
347,2018-06-7
348,2018-06-22
349,2018-08-2
350,2018-08-2
351,2018-06-21
352,2018-08-30
353,2018-07-5
354,2018-07-8
355,-
356,2018-07-8
357,2018-06-4
358,2018-06-6
359,2018-06-7
360,2018-08-30
361,2018-10-11
362,2018-07-15
363,2018-09-13
364,2018-06-28
365,2018-06-24
366,2018-07-8
367,2018-09-20
368,2018-07-29
369,2018-07-19
370,2018-07-19
371,2018-08-30
372,2018-06-11
373,2018-06-10
374,2018-06-11
375,2018-06-12
376,2018-06-13
377,2018-08-9
378,2018-09-16
379,2018-06-19
380,2018-06-21
381,-
382,2018-07-23
383,2018-07-24
384,2018-09-13
385,2018-12-13
386,2018-08-9
387,2018-09-6
388,2018-06-20
389,2018-06-20
390,2018-06-21
391,2018-07-19
392,2018-07-29
393,2018-07-8
394,2018-08-23
395,-
396,2018-10-4
397,2018-09-27
398,2018-08-23
399,2018-09-6
400,-
401,2018-06-28
402,2018-06-27
403,2018-06-28
404,2018-06-27
405,2018-08-9
406,2018-10-25
407,2018-11-8
408,-
409,2018-10-4
410,2018-08-16
411,2018-10-18
412,-
413,2018-07-5
414,2018-07-5
415,2018-10-25
416,2018-09-13
417,2018-09-20
418,-
419,-
420,2018-07-19
421,2018-09-6
422,2018-11-1
423,2018-11-1
424,2018-09-20
425,2018-10-4
426,2018-09-6
427,-
428,2018-09-30
429,-
430,2018-08-19
431,2018-07-11
432,2018-07-12
433,2018-11-1
434,2018-07-23
435,2018-11-29
436,2018-09-27
437,-
438,2018-10-4
439,-
440,2018-08-2
441,2018-10-18
442,2018-09-13
443,-
444,2018-07-18
445,2018-07-18
446,-
447,2018-09-20
448,2018-08-23
449,2018-09-20
450,2018-11-29
451,2018-09-20
452,2018-10-4
453,2018-09-20
454,2018-10-11
455,2018-08-16
456,2018-09-20
457,2018-09-13
458,2018-07-25
459,2018-07-24
460,2018-07-26
461,2018-07-24
462,2018-10-11
463,2018-07-28
464,2018-09-6
465,2018-08-16
466,2018-09-20
467,2018-10-18
468,2018-11-4
469,2018-11-22
470,2018-10-11
471,2018-11-29
472,2018-12-13
473,2018-07-30
474,2018-08-1
475,2018-10-25
476,2018-01-24
477,-
478,2018-09-20
479,2018-10-7
480,2018-01-9
481,2018-10-18
482,2018-08-19
483,-
484,2018-08-27
485,-
486,2018-09-27
487,2018-10-4
488,2018-10-11
489,2018-11-29
490,2018-09-30
491,2018-08-6
492,2018-08-8
493,2018-08-7
494,2018-09-27
495,2018-08-9
496,2018-11-1
497,2018-09-16
498,2018-10-4
499,2018-03-1
500,2018-11-1
501,2018-10-11
502,-
503,2018-08-12
504,2018-09-20
505,2018-01-28
506,2018-09-6
507,-
508,2018-08-15
509,2018-08-14
510,2018-01-10
511,-
512,2018-12-13
513,-
514,2018-08-25
515,2018-11-15
516,2018-10-25
517,2018-10-18
518,-
519,-
520,-
521,2018-10-4
522,2018-04-18
523,2018-08-23
524,2018-11-22
525,2018-11-29
526,2018-08-23
527,2018-10-4
528,2018-10-18
529,2018-08-25
530,2018-10-18
531,2018-11-7
532,2018-09-5
533,2018-08-30
534,2018-10-11
535,2018-09-6
536,2018-11-8
537,-
538,2018-09-13
539,2018-09-27
540,2018-11-15
541,2018-11-29
542,-
543,-
544,2018-10-18
545,2018-08-29
546,2018-08-27
547,2018-09-2
548,2018-11-15
549,2018-01-31
550,2018-12-20
551,2018-12-13
552,2018-09-20
553,2018-09-9
554,2018-11-29
555,2018-10-18
556,2018-09-13
557,2018-09-27
558,2018-10-11
559,2018-09-9
560,2018-09-6
561,-
562,-
563,-
564,-
565,-
566,-
567,-
568,-
569,2018-12-13
570,2018-11-8
571,2018-10-25
572,-
573,2018-02-7
574,2018-12-13
575,2018-09-20
576,2018-09-13
577,2018-11-22
578,2018-11-1
579,2018-12-20
580,2018-11-22
581,2018-09-12
582,2018-11-1
583,2018-11-4
584,-
585,2018-11-29
586,2018-10-14
587,2018-10-25
588,2018-09-20
589,-
590,2018-11-22
591,2018-11-8
592,2018-10-4
593,2018-04-20
594,2018-11-29
595,2018-09-20
596,-
597,2018-11-22
598,2018-12-20
599,2018-12-6
600,2018-11-22
601,2018-09-23
602,2018-09-20
603,2018-10-21
604,2018-10-21
605,2018-11-4
606,2018-09-19
607,-
608,2018-09-19
609,-
610,2018-09-27
611,-
612,2018-09-20
613,2018-11-1
614,2018-10-21
615,-
616,2018-10-4
617,2018-11-11
618,2018-01-20
619,2018-11-8
620,2018-12-20
621,-
622,2018-10-18
623,2018-11-29
624,2018-10-14
625,2018-11-15
626,2018-01-3
627,2018-11-15
628,2018-10-18
629,2018-11-1
630,2018-09-26
631,2018-10-9
632,2018-09-27
633,2018-09-27
634,2018-10-18
635,2018-11-4
636,2018-01-3
637,2018-01-17
638,2018-11-8
639,2018-01-24
640,2018-10-18
641,2018-11-1
642,2018-11-22
643,-
644,2018-12-20
645,2018-10-18
646,-
647,2018-10-25
648,2018-10-4
649,2018-05-2
650,2018-10-28
651,2018-11-15
652,2018-10-3
653,-
654,-
655,2018-10-25
656,2018-10-18
657,2018-04-4
658,2018-10-11
659,2018-12-23
660,2018-02-28
661,2018-01-17
662,2018-12-20
663,2018-11-4
664,2018-10-14
665,2018-11-7
666,2018-01-24
667,2018-10-10
668,2018-10-9
669,2018-04-11
670,2018-12-20
671,-
672,-
673,2018-12-17
674,2018-11-4
675,2018-10-18
676,2018-12-6
677,2018-02-28
678,2018-02-7
679,2018-10-25
680,2018-01-10
681,2018-12-6
682,2018-11-8
683,2018-11-1
684,2018-11-8
685,2018-01-3
686,2018-12-20
687,2018-10-13
688,2018-10-17
689,2018-01-24
690,2018-10-28
691,-
692,2018-12-6
693,2018-11-1
694,2018-11-15
695,2018-11-8
696,2018-10-25
697,2018-10-25
698,2018-01-10
699,2018-03-14
700,2018-12-23
701,2018-11-4
702,-
703,2018-04-4
704,2018-01-3
705,2018-11-15
706,2018-11-22
707,2018-12-13
708,-
709,2018-10-29
710,2018-03-24
711,2018-10-25
712,2018-10-25
713,2018-03-7
714,2018-12-6
715,2018-11-8
716,2018-01-3
717,-
718,2018-12-20
719,2018-11-15
720,2018-11-29
721,2018-11-1
722,2018-11-22
723,2018-01-31
724,2018-12-20
725,2018-11-15
726,2018-11-18
727,2018-10-29
728,2018-11-22
729,2018-11-22
730,2018-11-8
731,2018-01-6
732,2018-10-31
733,2018-10-30
734,2018-10-30
735,-
736,2018-11-1
737,2018-01-17
738,2018-11-18
739,2018-01-3
740,2018-12-13
741,2018-01-24
742,2018-02-14
743,2018-11-14
744,2018-04-25
745,2018-12-6
746,-
747,-
748,2018-12-20
749,2018-11-8
750,-
751,2018-12-20
752,2018-02-7
753,-
754,2018-11-8
755,2018-12-6
756,-
757,2018-02-14
758,2018-02-7
759,2018-12-13
760,-
761,2018-01-10
762,2018-12-20
763,2018-12-20
764,2018-11-22
765,2018-01-17
766,2018-11-22
767,2018-06-25
768,-
769,2018-11-14
770,-
771,2018-11-15
772,-
773,-
774,-
775,2018-11-25
776,-
777,2018-12-9
778,2018-11-29
779,2018-01-31
780,2018-05-2
781,2018-01-10
782,2018-02-10
783,2018-02-28
784,2018-02-21
785,2018-11-22
786,2018-02-21
787,2018-11-25
788,2018-11-20
789,2018-03-21
790,2018-04-11
791,2018-04-7
792,2018-01-10
793,2018-12-2
794,2018-05-2
795,-
796,2018-04-11
797,2018-03-28
798,-
799,-
800,2018-11-29
801,-
802,2018-03-17
803,2018-02-21
804,2018-02-21
805,2018-12-20
806,2018-12-6
807,2018-01-3
808,2018-01-10
809,2018-12-9
810,2018-06-6
811,2018-12-20
812,2018-12-30
813,-
814,2018-12-20
815,2018-02-21
816,2018-12-6
817,2018-12-9
818,2018-12-1
819,2018-12-1
820,2018-12-6
821,2018-12-3
822,2018-12-4
823,2018-01-24
824,2018-12-6
825,2018-02-7
826,2018-12-27
827,2018-01-3
828,2018-02-21
829,2018-04-14
830,2018-06-6
831,2018-07-21
832,-
833,2018-01-10
834,2018-01-3
835,2018-12-13
836,2018-01-6
837,2018-01-31
838,-
839,2018-12-13
840,-
841,2018-12-10
842,2018-12-12
843,2018-12-16
844,2018-12-13
845,2018-01-24
846,2018-01-10
847,2018-04-4
848,2018-03-14
849,2018-01-24
850,2018-12-27
851,2018-12-20
852,2018-01-17
853,2018-04-11
854,-
855,-
856,2018-05-30
857,2018-12-15
858,2018-12-19
859,2018-05-9
860,2018-04-11
861,2018-01-10
862,2018-04-4
863,2018-04-4
864,2018-03-7
865,2018-01-17
866,-
867,2018-05-9
868,2018-02-21
869,2018-01-27
870,-
871,2018-04-11
872,2018-03-7
873,2018-03-21
874,2018-02-21
875,2018-01-24
876,2018-05-19
877,2018-02-3
