,0
0,83
1,125
2,13
3,83
4,48
5,27
6,13
7,9
8,-
9,27
10,62
11,62
12,13
13,34
14,97
15,55
16,55
17,27
18,97
19,27
20,195
21,20
22,4
23,2
24,-
25,134
26,77
27,27
28,27
29,27
30,41
31,6
32,41
33,69
34,62
35,2
36,111
37,176
38,31
39,44
40,6
41,41
42,20
43,97
44,6
45,27
46,83
47,-
48,9
49,-
50,134
51,-
52,107
53,27
54,62
55,20
56,48
57,41
58,6
59,55
60,-
61,16
62,97
63,41
64,58
65,2
66,55
67,23
68,125
69,27
70,13
71,62
72,34
73,-
74,4
75,1
76,92
77,64
78,11
79,20
80,27
81,48
82,83
83,48
84,20
85,41
86,27
87,132
88,13
89,174
90,20
91,83
92,55
93,-
94,3
95,-
96,-
97,27
98,-
99,-
100,-
101,6
102,55
103,2
104,83
105,-
106,118
107,37
108,55
109,20
110,41
111,48
112,4
113,4
114,1
115,2
116,-
117,20
118,111
119,76
120,-
121,90
122,-
123,6
124,125
125,97
126,125
127,111
128,69
129,-
130,245
131,-
132,135
133,69
134,83
135,27
136,48
137,139
138,13
139,104
140,146
141,62
142,118
143,-
144,20
145,-
146,1
147,105
148,-
149,27
150,41
151,16
152,16
153,72
154,90
155,90
156,118
157,132
158,-
159,76
160,120
161,3
162,31
163,-
164,160
165,125
166,27
167,83
168,20
169,16
170,9
171,66
172,86
173,90
174,90
175,-
176,55
177,16
178,48
179,62
180,2
181,125
182,6
183,62
184,69
185,2
186,3
187,98
188,118
189,69
190,20
191,3
192,20
193,76
194,48
195,58
196,-
197,-
198,-
199,69
200,20
201,23
202,153
203,4
204,119
205,-
206,83
207,27
208,90
209,69
210,-
211,79
212,27
213,13
214,100
215,118
216,97
217,-
218,118
219,117
220,69
221,92
222,6
223,64
224,141
225,-
226,-93
227,104
228,132
229,244
230,104
231,237
232,34
233,97
234,-
235,-
236,6
237,-
238,20
239,104
240,13
241,48
242,34
243,-
244,4
245,47
246,-
247,-
248,-
249,15
250,83
251,-
252,41
253,-
254,34
255,27
256,38
257,13
258,160
259,142
260,-
261,34
262,62
263,3
264,-
265,-
266,-
267,20
268,20
269,90
270,174
271,100
272,139
273,-
274,97
275,-
276,34
277,55
278,4
279,4
280,2
281,-
282,132
283,30
284,13
285,62
286,20
287,34
288,160
289,111
290,-
291,13
292,62
293,-
294,3
295,-
296,55
297,34
298,48
299,-
300,41
301,100
302,65
303,6
304,27
305,13
306,76
307,-
308,-
309,20
310,27
311,83
312,83
313,97
314,-
315,90
316,3
317,-
318,-
319,-
320,153
321,58
322,27
323,27
324,-
325,55
326,76
327,135
328,146
329,83
330,-
331,3
332,-
333,-
334,69
335,20
336,6
337,118
338,27
339,125
340,34
341,16
342,44
343,83
344,-
345,155
346,13
347,6
348,21
349,62
350,62
351,20
352,90
353,34
354,37
355,-
356,37
357,3
358,3
359,2
360,83
361,125
362,37
363,97
364,20
365,16
366,30
367,104
368,51
369,41
370,41
371,83
372,1
373,-
374,-
375,-
376,-
377,57
378,95
379,5
380,6
381,-
382,38
383,39
384,90
385,181
386,55
387,83
388,3
389,-
390,-
391,27
392,37
393,16
394,62
395,-
396,104
397,97
398,62
399,76
400,-
401,6
402,3
403,3
404,-
405,41
406,118
407,132
408,-
409,97
410,48
411,111
412,-
413,6
414,6
415,118
416,76
417,83
418,-
419,-
420,16
421,64
422,118
423,118
424,76
425,90
426,62
427,-
428,84
429,-
430,39
431,-
432,-
433,111
434,10
435,139
436,76
437,-
438,83
439,-
440,20
441,97
442,62
443,-
444,3
445,-
446,-
447,62
448,34
449,62
450,132
451,62
452,76
453,62
454,83
455,27
456,62
457,55
458,3
459,2
460,3
461,-
462,78
463,2
464,41
465,20
466,55
467,83
468,100
469,118
470,76
471,125
472,139
473,2
474,3
475,85
476,-189
477,-
478,50
479,67
480,-205
481,76
482,16
483,-
484,24
485,-
486,55
487,62
488,69
489,118
490,58
491,2
492,3
493,-
494,50
495,-
496,83
497,37
498,55
499,-162
500,83
501,62
502,-
503,2
504,41
505,-194
506,27
507,-
508,3
509,-
510,-217
511,-
512,118
513,-
514,8
515,90
516,69
517,62
518,-
519,-
520,-
521,48
522,-121
523,6
524,97
525,104
526,3
527,44
528,57
529,2
530,55
531,75
532,12
533,6
534,48
535,13
536,76
537,-
538,20
539,34
540,83
541,97
542,-
543,-
544,55
545,3
546,-
547,5
548,78
549,-211
550,112
551,104
552,20
553,9
554,90
555,48
556,13
557,27
