,0
0,67745330
1,104451
2,7014
3,15586
4,19554
5,149072
6,66176
7,549602
8,237411
9,11762
10,36343858
11,40891591
12,75929
13,29647
14,18877
15,36215
16,20877013
17,19696
18,646497
19,69431
20,61133
21,447719
22,320079
23,215295
24,34562
25,64994
26,2418404
27,10430
28,41934
29,35757
30,25183
31,4547
32,187360
33,45819713
34,44947622
35,7216
36,16376066
37,313088
38,10638033
39,16500
40,4537
41,75134
42,12965
43,57902320
44,1926
45,9425
46,77854
47,2023749
48,124573
49,9005
50,24955
51,59114
52,390207
53,490973
54,4592
55,118352
56,28550
57,26699
58,3392
59,25091816
60,167991
61,37183
62,217681
63,1895840
64,58751
65,4400
66,100407760
67,41888
68,115253424
69,1670192
70,21786
71,36276286
72,2783739
73,667
74,1115018
75,220682
76,74720
77,95987
78,11140
79,114603
80,94450
81,36613
82,55225
83,1983984
84,706153
85,8267544
86,40428
87,41072
88,7470
89,700059566
90,116352
91,749827
92,4719928
93,351839
94,404524
95,89332
96,166763
97,6102076
98,347468
99,2856
100,7362
101,5518
102,32732301
103,8982
104,125659
105,9065
106,69179066
107,208351
108,436059
109,26630
110,19084
111,17646
112,1764201
113,1036956
114,21497
115,918127
116,20545
117,39985
118,615633
119,23833
120,9278
121,34017028
122,87639
123,12189
124,373293
125,46860157
126,17015
127,18157
128,4580
129,175922
130,35787
131,235229
132,83418
133,13210
134,24586708
135,4969853
136,3072605
137,8047856
138,37115
139,387237
140,607290
141,6115825
142,100478608
143,11700
144,78900
145,1033651
146,121688
147,93224
148,8472
149,3189220
150,51706
151,1010385
152,19987
153,328188
154,190387
155,40823927
156,83482352
157,20671
158,161796
159,58250803
160,5204
161,394212
162,316103
163,107057
164,31892516
165,337540
166,12825
167,43242871
168,7732899
169,12954
170,13331
171,217812
172,7263
173,455475
174,257610
175,90979
176,45542
177,73548
178,9561064
179,102510
180,330279
181,59874525
182,3350
183,17560475
184,21611
185,20549
186,653072
187,137690172
188,289308
189,43549096
190,48650
191,252410
192,14410
193,5728940
194,121098
195,68492
196,4764
197,61013
198,3550
199,1418682
200,1319579
201,200340
202,51290
203,1302949
204,600554
205,260534
206,261725
207,7000
208,10230620
209,1163056
210,2621
211,103885
212,8708
213,24281
214,5757906
215,188024361
216,32920
217,617
218,60311495
219,17395520
220,2528078
221,302681
222,1213413
223,5019226
224,40670
225,27961
226,4015935
227,101028233
228,375208
229,2402856
230,28013
231,72365
232,113354
233,175970
234,834
235,33953
236,2784
237,2263
238,1377
239,41411015
240,37516
241,22257
242,115252
243,2097362
244,1166858
245,73885
246,605764
247,24844
248,208100
249,11567
250,30609330
251,2663090
252,9186156
253,115013
254,19895
255,12875
256,82264
257,9996
258,66505
259,36089
260,217767
261,148747
262,48795601
263,563718
264,219342
265,185082
266,1190
267,6877
268,274635
269,892421
270,25617
271,14941
272,678815482
273,20306
274,3498782
275,8998
276,35821
277,23802
278,1243306
279,993336
280,817990
281,4157
282,174325
283,7636
284,46337
285,50316123
286,3435047
287,1343797
288,14017361
289,21115
290,1259
291,4826
292,9369755
293,78676
294,464483
295,52339
296,800365
297,992153
298,109857
299,30178
300,25561
301,24746
302,62752
303,528
304,16139
305,14018
306,108135
307,11218
308,10452
309,100091
310,89461
311,46840590
312,53059911
313,359806
314,99593
315,365412
316,299645
317,55092
318,97857
319,51743
320,318491426
321,3236321
322,31122
323,8048
324,34556
325,745971
326,3448256
327,2008385
328,17857020
329,68566296
330,50264
331,443059
332,96690
333,491
334,24970
335,84809
336,285933
337,213767512
338,6508
339,185903
340,251401
341,11818
342,108900
343,64771
344,112007
345,19037
346,5059608
347,5007
348,5010
349,31445012
350,11977130
351,12574
352,2856954
353,37108
354,44261
355,57376
356,58403
357,141524
358,216807
359,193833
360,44069456
361,79887
362,80115
363,22835787
364,9627
365,11833
366,365639
367,140218711
368,58979
369,16364
370,6708147
371,2386251
372,49381
373,202217
374,264629
375,160381
376,6232
377,20545116
378,119223
379,397887
380,2684
381,1690861
382,4343227
383,149614
384,54730625
385,608581744
386,4108
387,15288
388,372405
389,129730
390,434008
391,85693
392,179045
393,8190
394,305136
395,37767
396,417719760
397,259291
398,725223
399,703438
400,17636
401,20208
402,398670
403,839554
404,129393
405,6863
406,83427
407,875751
408,2065482
409,6046104
410,7909317
411,12320845
412,8941
413,7714
414,7051
415,106057
416,42469946
417,50072235
418,5136
419,3142
420,525280
421,69488745
422,17493096
423,216648740
424,3026351
425,117460
426,67596
427,3495
428,992305
429,377334
430,97649
431,129498
432,47526
433,42601
434,77980
435,167510016
436,68420120
437,217932
438,13539709
439,4491
440,390077
441,29017
442,2793039
443,26566
444,258507
445,172627
446,183008
447,237709
448,34366
449,102084362
450,87389
451,89988
452,1257275
453,166018
454,120634935
455,8866745
456,51713
457,4333394
458,1423877
459,516130
460,88905
461,15623
462,67020
463,282429
464,21855
465,262963
466,461689
467,220159104
468,2342264
469,2032018
470,29790236
471,108708
472,31177
473,335697
474,258618
475,21201
476,33877
477,11321
478,1200246
479,73304
480,2999134
481,12695691
482,182009
483,8331
484,61271
485,3000
486,33562069
487,3696
488,5885881
489,99215042
490,904703
491,231434
492,582585
493,197142
494,6809080
495,603320
496,145443742
497,670883
498,236799
499,48686605
500,30569484
501,185576
502,5434
503,14453
504,500803
505,77987
506,178471
507,2367
508,516962
509,82774
510,174532921
511,1010657
512,103636
513,4867
514,147175
515,62436
516,3444895
517,400961
518,169710
519,1349
520,5462
521,36108758
522,9601092
523,11998
524,35857181
525,704955
526,1201434
527,406490
528,90288
529,397157
530,129124
531,1209645
532,18644
533,5004
534,1588150
535,37727
536,990230
537,3133
538,2335896
539,20706452
540,26020957
541,94513
542,375589
543,103385
544,6501381
545,458000
546,67415
547,131200
548,17612099
549,35381
550,20069
551,93409
552,85624
553,5234
554,578717
555,58177
556,713143
557,5718096
558,4165949
559,19862
560,1743
561,245501
562,132522
563,148263
564,218774
565,181938
566,188716
567,295917
568,130081
569,117470
570,2846257
571,446062
572,5749
573,50711
574,360931
575,3751
576,147
577,117450119
578,35418723
579,28293
580,45889
581,616171
582,15552
583,1214525
584,1807117
585,51005080
586,567417
587,642157
588,12368
589,67743
590,547750
591,24011188
592,112191
593,112282
594,6216897
595,3948
596,22201
597,43169
598,276195
599,124220
600,53548586
601,76386
602,2150
603,75506
604,9855
605,148505
606,658982
607,707875
608,374238
609,44002
610,954
611,970032
612,54324
613,472166
614,2005142
615,1100
616,3895
617,245006
618,889343
619,7082
620,3143056
621,4102648
622,18203
