,0
0,67745330
1,104451
2,7014
3,15586
4,19554
5,149072
6,66176
7,11762
8,36343858
9,40891591
10,75929
11,18877
12,36215
13,20877013
14,19696
15,646497
16,69431
17,61133
18,447719
19,320079
20,215295
21,64994
22,2418404
23,41934
24,35757
25,25183
26,4547
27,187360
28,45819713
29,44947622
30,7216
31,16376066
32,313088
33,10638033
34,16500
35,4537
36,75134
37,12965
38,57902320
39,1926
40,9425
41,77854
42,2023749
43,24955
44,390207
45,118352
46,28550
47,26699
48,3392
49,25091816
50,167991
51,37183
52,217681
53,1895840
54,58751
55,4400
56,100407760
57,41888
58,115253424
59,1670192
60,21786
61,36276286
62,2783739
63,667
64,1115018
65,220682
66,74720
67,95987
68,11140
69,114603
70,36613
71,55225
72,1983984
73,706153
74,8267544
75,40428
76,41072
77,7470
78,700059566
79,116352
80,749827
81,4719928
82,6102076
83,347468
84,7362
85,5518
86,32732301
87,8982
88,125659
89,9065
90,69179066
91,208351
92,436059
93,26630
94,19084
95,17646
96,1764201
97,20545
98,615633
99,23833
100,9278
101,34017028
102,12189
103,373293
104,46860157
105,17015
106,18157
107,4580
108,175922
109,83418
110,13210
111,24586708
112,4969853
113,3072605
114,8047856
115,37115
116,387237
117,607290
118,6115825
119,100478608
120,11700
121,78900
122,1033651
123,3189220
124,51706
125,1010385
126,19987
127,328188
128,190387
129,40823927
130,83482352
131,20671
132,161796
133,58250803
134,5204
135,31892516
136,337540
137,43242871
138,7732899
139,12954
140,13331
141,217812
142,7263
143,455475
144,257610
145,45542
146,73548
147,9561064
148,102510
149,330279
150,59874525
151,17560475
152,21611
153,20549
154,137690172
155,43549096
156,48650
157,252410
158,14410
159,5728940
160,121098
161,68492
162,4764
163,61013
164,3550
165,1418682
166,1319579
167,200340
168,51290
169,1302949
170,261725
171,7000
172,10230620
173,1163056
174,2621
175,103885
176,8708
177,24281
178,5757906
179,188024361
180,32920
181,60311495
182,17395520
183,2528078
184,302681
185,5019226
186,40670
187,4015935
188,101028233
189,375208
190,2402856
191,72365
192,113354
193,175970
194,2784
195,2263
196,1377
197,41411015
198,115252
199,1166858
200,11567
201,30609330
202,2663090
203,9186156
204,19895
205,12875
206,82264
207,9996
208,66505
209,36089
210,217767
211,148747
212,48795601
213,6877
214,274635
215,892421
216,14941
217,678815482
218,20306
219,3498782
220,8998
221,35821
222,23802
223,1243306
224,174325
225,7636
226,46337
227,50316123
228,3435047
229,1343797
230,14017361
231,21115
232,9369755
233,464483
234,800365
235,992153
236,109857
237,30178
238,25561
239,24746
240,62752
241,528
242,16139
243,108135
244,11218
245,100091
246,89461
247,46840590
248,53059911
249,359806
250,99593
251,365412
252,318491426
253,31122
254,8048
255,34556
256,745971
257,3448256
258,2008385
259,17857020
260,68566296
261,50264
262,24970
263,84809
264,213767512
265,6508
266,185903
267,251401
268,11818
269,108900
270,64771
271,19037
272,5059608
273,5007
274,5010
275,31445012
276,11977130
277,12574
278,2856954
279,37108
280,57376
281,58403
282,141524
283,44069456
284,79887
285,80115
286,22835787
287,9627
288,11833
289,365639
290,140218711
291,58979
292,16364
293,6708147
294,2386251
295,202217
296,20545116
297,119223
298,2684
299,1690861
300,4343227
301,149614
302,54730625
303,608581744
304,4108
305,15288
306,85693
307,179045
308,8190
309,305136
310,37767
311,417719760
312,259291
313,725223
314,703438
315,17636
316,20208
317,6863
318,83427
319,875751
320,2065482
321,6046104
322,7909317
323,12320845
324,8941
325,7714
326,7051
327,106057
328,42469946
329,50072235
330,3142
331,525280
332,69488745
333,17493096
334,216648740
335,3026351
336,117460
337,67596
338,992305
339,97649
340,42601
341,77980
342,167510016
343,68420120
344,217932
345,13539709
346,4491
347,390077
348,29017
349,2793039
350,26566
351,183008
352,237709
353,34366
354,102084362
355,87389
356,89988
357,1257275
358,166018
359,120634935
360,8866745
361,4333394
362,67020
363,21855
364,262963
365,461689
366,220159104
367,2342264
368,2032018
369,29790236
370,108708
371,31177
372,21201
373,33877
374,11321
375,1200246
376,73304
377,12695691
378,182009
379,61271
380,3000
381,33562069
382,3696
383,5885881
384,99215042
385,904703
386,231434
387,6809080
388,145443742
389,670883
390,236799
391,48686605
392,30569484
393,185576
394,5434
395,14453
396,500803
397,77987
398,178471
399,2367
400,516962
401,174532921
402,103636
403,4867
404,147175
405,3444895
406,400961
407,36108758
408,9601092
409,11998
410,35857181
411,704955
412,406490
413,90288
414,129124
415,1209645
416,18644
417,5004
418,1588150
419,37727
420,990230
421,3133
422,2335896
423,20706452
424,26020957
425,103385
426,6501381
427,17612099
428,35381
429,20069
430,93409
431,85624
432,578717
433,58177
434,713143
435,5718096
436,4165949
437,19862
438,1743
439,117470
440,2846257
441,50711
442,360931
443,3751
444,147
445,117450119
446,35418723
447,28293
448,45889
449,15552
450,1214525
451,1807117
452,51005080
453,567417
454,642157
455,12368
456,67743
457,547750
458,24011188
459,112191
460,112282
461,6216897
462,3948
463,22201
464,43169
465,276195
466,124220
467,53548586
468,76386
469,2150
470,75506
471,9855
472,148505
473,658982
474,707875
475,44002
476,472166
477,2005142
478,1100
479,3895
480,245006
481,889343
482,7082
483,3143056
484,4102648
485,5137622
486,249122
487,64147
488,68549695
489,626318
490,110986
491,6352306
492,5754556
493,148568
494,100335
495,77339130
496,83240103
497,11107431
498,11277120
499,11746
500,285795
501,1379497
502,161565
503,230808
504,3292
505,11598
506,790628
507,17541090
508,500101
509,57520
510,74711
511,31970
512,13793
513,215288866
514,22017
515,118344
516,192058
517,29719483
518,10153
519,1193046
520,14030
521,333388
522,213515506
523,1595902
524,43968
525,466440
526,229423
527,3679893
528,71971
529,1359
530,17790429
531,380030
532,8986631
533,46382
534,3243
535,28971
536,4215
537,401463
538,7072
539,44936545
540,46700633
541,81878
542,54920
543,37058
544,26759
545,10402
546,1520
547,6701
548,812
549,8803865
550,7362439
551,104079
552,1050616
553,13509
554,159342015
555,87400
556,260136
557,207140
558,1195758
559,22083
560,718991
561,17325
562,3511417
563,27723
564,5458621
565,11257
566,15767460
567,2488
568,167937
569,63570
570,13926
571,60607
572,158723
573,1368
574,4412170
575,14905
576,252676
577,771930
578,1023233
579,54858851
580,113956
581,6788692
582,36686
583,1633208
584,58090
585,216428042
586,31713110
587,540707
588,2000105
589,14316
590,1449848
591,180946
592,9893
593,270620950
594,68407
595,4461
596,4667
597,5213
598,14841338
599,21704844
600,5210
601,109608
602,13337
603,849710
604,171177
605,3829
606,3643903
607,11947
608,67363237
609,85080171
610,551876
611,2294915
612,7427
613,42402632
614,3429
