,0,,opening revenue,gross revenue
0,,,29581355,67745330
1,,,5888,104451
2,,,3072,7014
3,,,4623,15586
4,,,11722,19554
5,,,79180,149072
6,,,39584,66176
7,,,5538,11762
8,,,13701452,36343858
9,,,11001961,40891591
10,,,47808,75929
11,,,3489,18877
12,,,3342,36215
13,,,9959053,20877013
14,,,4809,19696
15,,,24957,646497
16,,,34437,69431
17,,,20768,61133
18,,,248456,447719
19,,,191466,320079
20,,,144074,215295
21,,,9084,64994
22,,,348475,2418404
23,,,6330,41934
24,,,17175,35757
25,,,8015,25183
26,,,2282,4547
27,,,67971,187360
28,,,15815025,45819713
29,,,15206108,44947622
30,,,7216,7216
31,,,4245630,16376066
32,,,256025,313088
33,,,4493384,10638033
34,,,11320,16500
35,,,3061,4537
36,,,9851,75134
37,,,5064,12965
38,,,24167011,57902320
39,,,1047,1926
40,,,4090,9425
41,,,10463,77854
42,,,1498309,2023749
43,,,5565,24955
44,,,64241,390207
45,,,57713,118352
46,,,8101,28550
47,,,8370,26699
48,,,1204,3392
49,,,9307626,25091816
50,,,167991,167991
51,,,15845,37183
52,,,99541,217681
53,,,695044,1895840
54,,,31005,58751
55,,,4400,4400
56,,,38560195,100407760
57,,,11719,41888
58,,,25010928,115253424
59,,,740313,1670192
60,,,6886,21786
61,,,12554286,36276286
62,,,1147073,2783739
63,,,576,667
64,,,837262,1115018
65,,,137451,220682
66,,,4962,74720
67,,,62995,95987
68,,,4905,11140
69,,,15955,114603
70,,,5609,36613
71,,,30222,55225
72,,,704047,1983984
73,,,341834,706153
74,,,3190525,8267544
75,,,30288,40428
76,,,6688,41072
77,,,5995,7470
78,,,202003951,700059566
79,,,95577,116352
80,,,37396,749827
81,,,1942569,4719928
82,,,3016149,6102076
83,,,2600,347468
84,,,5053,7362
85,,,3983,5518
86,,,11071584,32732301
87,,,8982,8982
88,,,26097,125659
89,,,3375,9065
90,,,17005332,69179066
91,,,62234,208351
92,,,436059,436059
93,,,4875,26630
94,,,3354,19084
95,,,3443,17646
96,,,1326339,1764201
97,,,5725,20545
98,,,31629,615633
99,,,10140,23833
100,,,2267,9278
101,,,13010267,34017028
102,,,8128,12189
103,,,14569,373293
104,,,16853422,46860157
105,,,3453,17015
106,,,3945,18157
107,,,2823,4580
108,,,175922,175922
109,,,11489,83418
110,,,1540,13210
111,,,10402271,24586708
112,,,2722420,4969853
113,,,1224430,3072605
114,,,184805,8047856
115,,,15044,37115
116,,,24840,387237
117,,,14350,607290
118,,,3024399,6115825
119,,,33123609,100478608
120,,,11700,11700
121,,,20142,78900
122,,,798605,1033651
123,,,1592645,3189220
124,,,7085,51706
125,,,423817,1010385
126,,,5880,19987
127,,,48919,328188
128,,,12445,190387
129,,,11756244,40823927
130,,,17108914,83482352
131,,,7707,20671
132,,,11798,161796
133,,,23633317,58250803
134,,,923,5204
135,,,1620294,31892516
136,,,14420,337540
137,,,10604774,43242871
138,,,3762145,7732899
139,,,2634,12954
140,,,7950,13331
141,,,103831,217812
142,,,3055,7263
143,,,25472,455475
144,,,15157,257610
145,,,8366,45542
146,,,27549,73548
147,,,4003993,9561064
148,,,19158,102510
149,,,330279,330279
150,,,28116535,59874525
151,,,5172585,17560475
152,,,2860,21611
153,,,11984,20549
154,,,41764050,137690172
155,,,17170707,43549096
