,0
0,29581355
1,5888
2,3072
3,4623
4,11722
5,79180
6,39584
7,-
8,-
9,5538
10,13701452
11,11001961
12,47808
13,8244
14,3489
15,3342
16,9959053
17,4809
18,24957
19,34437
20,20768
21,248456
22,191466
23,144074
24,-
25,9084
26,348475
27,3495
28,6330
29,17175
30,8015
31,2282
32,67971
33,15815025
34,15206108
35,7216
36,4245630
37,256025
38,4493384
39,11320
40,3061
41,9851
42,5064
43,24167011
44,1047
45,4090
46,10463
47,1498309
48,-
49,-
50,5565
51,-
52,64241
53,309951
54,-
55,57713
56,8101
57,8370
58,1204
59,9307626
60,167991
61,15845
62,99541
63,695044
64,31005
65,4400
66,38560195
67,11719
68,25010928
69,740313
70,6886
71,12554286
72,1147073
73,576
74,837262
75,137451
76,4962
77,62995
78,4905
79,15955
80,-
81,5609
82,30222
83,704047
84,341834
85,3190525
86,30288
87,6688
88,5995
89,202003951
90,95577
91,37396
92,1942569
93,-
94,258994
95,-
96,-
97,3016149
98,2600
99,1006
100,5053
101,3983
102,11071584
103,8982
104,26097
105,3375
106,17005332
107,62234
108,436059
109,4875
110,3354
111,3443
112,1326339
113,548354
114,-
115,-
116,5725
117,-
118,31629
119,10140
120,2267
121,13010267
122,1300
123,8128
124,14569
125,16853422
126,3453
127,3945
128,2823
129,175922
130,-
131,-
132,11489
133,1540
134,10402271
135,2722420
136,1224430
137,184805
138,15044
139,24840
140,14350
141,3024399
142,33123609
143,11700
144,20142
145,798605
146,68833
147,-
148,-
149,1592645
150,7085
151,423817
152,5880
153,48919
154,12445
155,11756244
156,17108914
157,7707
158,11798
159,23633317
160,923
161,252880
162,-
163,-
164,1620294
165,14420
166,6462
167,10604774
168,3762145
169,2634
170,7950
171,103831
172,3055
173,25472
174,15157
175,-
176,8366
177,27549
178,4003993
179,19158
180,330279
181,28116535
182,-
183,5172585
184,2860
185,11984
186,281697
187,41764050
188,-
189,17170707
190,25791
191,131671
192,3780
193,2689677
194,11290
195,14136
196,2205
197,6298
198,3550
199,60132
200,650722
201,32980
202,8755
203,966870
204,-
205,-
206,9083
207,7000
208,3950652
209,46975
210,2621
211,8895
212,4046
213,13669
214,158915
215,50203562
216,4016
217,-
218,20556350
219,5765854
220,132829
221,244588
222,664766
223,1734497
224,8634
225,-
226,1164403
227,35753093
228,56171
229,42244
230,7125
231,4874
232,52625
233,26123
234,834
235,-
236,1240
237,1430
238,624
239,18667855
240,-
241,-
242,19017
243,-
244,850777
245,-
246,605764
247,-
248,-
249,2442
250,15181624
251,2663090
252,3941338
253,-
254,7814
255,5060
256,10994
257,6964
258,2442
259,6452
260,68507
261,11972
262,16030218
263,254402
264,-
265,-
266,-
267,2797
268,163289
269,39699
270,4914
271,5943
272,257698183
273,2996
274,237393
275,8998
276,6652
277,5110
278,925752
279,558857
280,-
281,-
282,7479
283,3768
284,2513
285,14711101
286,1726868
287,483681
288,578470
289,2127
290,-
291,1701
292,3282610
