,0
0,2018-01-5
1,2018-01-5
2,2018-01-5
3,2018-01-5
4,2018-01-5
5,2018-01-5
6,2018-01-5
7,2018-01-10
8,2018-01-11
9,2018-01-12
10,2018-01-12
11,2018-01-12
12,2018-01-12
13,2018-01-12
14,2018-01-12
15,2018-01-12
16,2018-01-12
17,2018-01-12
18,2018-01-12
19,2018-01-12
20,2018-01-12
21,2018-01-12
22,2018-01-13
23,2018-01-14
24,2018-01-16
25,2018-01-17
26,2018-01-18
27,2018-01-19
28,2018-01-19
29,2018-01-19
30,2018-01-19
31,2018-01-19
32,2018-01-19
33,2018-01-19
34,2018-01-19
35,2018-01-19
36,2018-01-19
37,2018-01-21
38,2018-01-25
39,2018-01-26
40,2018-01-26
41,2018-01-26
42,2018-01-26
43,2018-01-26
44,2018-01-26
45,2018-01-26
46,2018-01-26
47,2018-01-27
48,2018-01-29
49,2018-01-30
50,2018-01-31
51,2018-02-1
52,2018-02-2
53,2018-02-2
54,2018-02-2
55,2018-02-2
56,2018-02-2
57,2018-02-2
58,2018-02-2
59,2018-02-2
60,2018-02-4
61,2018-02-9
62,2018-02-9
63,2018-02-9
64,2018-02-9
65,2018-02-9
66,2018-02-9
67,2018-02-9
68,2018-02-9
69,2018-02-9
70,2018-02-9
71,2018-02-9
72,2018-02-9
73,2018-02-9
74,2018-02-10
75,2018-02-11
76,2018-02-14
77,2018-02-14
78,2018-02-14
79,2018-02-16
80,2018-02-16
81,2018-02-16
82,2018-02-16
83,2018-02-16
84,2018-02-16
85,2018-02-16
86,2018-02-16
87,2018-02-16
88,2018-02-16
89,2018-02-16
90,2018-02-16
91,2018-02-16
92,2018-02-16
93,2018-02-18
94,2018-02-18
95,2018-02-22
96,2018-02-22
97,2018-02-23
98,2018-02-23
99,2018-02-23
100,2018-02-23
101,2018-02-23
102,2018-02-23
103,2018-02-23
104,2018-02-23
105,2018-02-23
106,2018-02-23
107,2018-02-23
108,2018-02-23
109,2018-02-23
110,2018-02-23
111,2018-02-23
112,2018-02-24
113,2018-02-25
114,2018-02-27
115,2018-02-27
116,2018-02-28
117,2018-03-2
118,2018-03-2
119,2018-03-2
120,2018-03-2
121,2018-03-2
122,2018-03-2
123,2018-03-2
124,2018-03-2
125,2018-03-2
126,2018-03-2
127,2018-03-2
128,2018-03-2
129,2018-03-4
130,2018-03-8
131,2018-03-8
132,2018-03-9
133,2018-03-9
134,2018-03-9
135,2018-03-9
136,2018-03-9
137,2018-03-9
138,2018-03-9
139,2018-03-9
140,2018-03-9
141,2018-03-9
142,2018-03-9
143,2018-03-9
144,2018-03-9
145,2018-03-10
146,2018-03-11
147,2018-03-15
148,2018-03-16
149,2018-03-16
150,2018-03-16
151,2018-03-16
152,2018-03-16
153,2018-03-16
154,2018-03-16
155,2018-03-16
156,2018-03-16
157,2018-03-16
158,2018-03-16
159,2018-03-16
160,2018-03-16
161,2018-03-18
162,2018-03-19
163,2018-03-22
164,2018-03-23
165,2018-03-23
166,2018-03-23
167,2018-03-23
168,2018-03-23
169,2018-03-23
170,2018-03-23
171,2018-03-23
172,2018-03-23
173,2018-03-23
174,2018-03-23
175,2018-03-23
176,2018-03-23
177,2018-03-23
178,2018-03-23
179,2018-03-23
180,2018-03-23
181,2018-03-23
182,2018-03-23
183,2018-03-23
184,2018-03-23
185,2018-03-24
186,2018-03-25
187,2018-03-29
188,2018-03-30
189,2018-03-30
190,2018-03-30
191,2018-03-30
192,2018-03-30
193,2018-03-30
194,2018-03-30
195,2018-03-30
196,2018-03-30
197,2018-03-30
198,2018-03-30
199,2018-03-30
200,2018-03-30
201,2018-03-30
202,2018-03-30
203,2018-03-31
204,2018-04-4
205,2018-04-5
206,2018-04-6
207,2018-04-6
208,2018-04-6
209,2018-04-6
210,2018-04-6
211,2018-04-6
212,2018-04-6
213,2018-04-6
214,2018-04-6
215,2018-04-6
216,2018-04-6
217,2018-04-6
218,2018-04-6
219,2018-04-6
220,2018-04-6
221,2018-04-8
222,2018-04-8
223,2018-04-11
224,2018-04-11
225,2018-04-12
226,2018-04-13
227,2018-04-13
228,2018-04-13
229,2018-04-13
230,2018-04-13
231,2018-04-13
232,2018-04-13
233,2018-04-13
234,2018-04-13
235,2018-04-13
236,2018-04-13
237,2018-04-13
238,2018-04-13
239,2018-04-13
240,2018-04-13
241,2018-04-13
242,2018-04-13
243,2018-04-13
244,2018-04-14
245,2018-04-14
246,2018-04-15
247,2018-04-16
248,2018-04-17
249,2018-04-18
250,2018-04-20
251,2018-04-20
252,2018-04-20
253,2018-04-20
254,2018-04-20
255,2018-04-20
256,2018-04-20
257,2018-04-20
258,2018-04-20
259,2018-04-20
260,2018-04-20
261,2018-04-20
262,2018-04-20
263,2018-04-22
264,2018-04-24
265,2018-04-25
266,2018-04-25
267,2018-04-27
268,2018-04-27
269,2018-04-27
270,2018-04-27
271,2018-04-27
272,2018-04-27
273,2018-04-27
274,2018-04-27
275,2018-04-27
276,2018-04-27
277,2018-04-27
278,2018-04-28
279,2018-04-29
280,2018-05-1
281,2018-05-3
282,2018-05-4
283,2018-05-4
284,2018-05-4
285,2018-05-4
286,2018-05-4
287,2018-05-4
288,2018-05-4
289,2018-05-4
290,2018-05-4
291,2018-05-4
292,2018-05-4
293,2018-05-8
294,2018-05-9
295,2018-05-10
296,2018-05-11
297,2018-05-11
298,2018-05-11
299,2018-05-11
300,2018-05-11
301,2018-05-11
302,2018-05-11
303,2018-05-11
304,2018-05-11
305,2018-05-11
306,2018-05-11
307,2018-05-11
308,2018-05-11
309,2018-05-11
310,2018-05-11
311,2018-05-11
312,2018-05-11
313,2018-05-11
314,2018-05-11
315,2018-05-11
316,2018-05-13
317,2018-05-15
318,2018-05-17
319,2018-05-17
320,2018-05-18
321,2018-05-18
322,2018-05-18
323,2018-05-18
324,2018-05-18
325,2018-05-18
326,2018-05-18
327,2018-05-18
328,2018-05-18
329,2018-05-18
330,2018-05-19
331,2018-05-20
332,2018-05-22
333,2018-05-25
334,2018-05-25
335,2018-05-25
336,2018-05-25
337,2018-05-25
338,2018-05-25
339,2018-05-25
340,2018-05-25
341,2018-05-25
342,2018-05-25
343,2018-05-25
344,2018-05-30
345,2018-05-30
346,2018-06-1
347,2018-06-1
348,2018-06-1
349,2018-06-1
350,2018-06-1
351,2018-06-1
352,2018-06-1
353,2018-06-1
354,2018-06-1
355,2018-06-1
356,2018-06-1
357,2018-06-1
358,2018-06-3
359,2018-06-5
360,2018-06-8
361,2018-06-8
362,2018-06-8
363,2018-06-8
364,2018-06-8
365,2018-06-8
366,2018-06-8
367,2018-06-8
368,2018-06-8
369,2018-06-8
370,2018-06-8
371,2018-06-8
372,2018-06-10
373,2018-06-10
374,2018-06-11
375,2018-06-12
376,2018-06-13
377,2018-06-13
378,2018-06-13
379,2018-06-14
380,2018-06-15
381,2018-06-15
382,2018-06-15
383,2018-06-15
384,2018-06-15
385,2018-06-15
386,2018-06-15
387,2018-06-15
388,2018-06-17
389,2018-06-20
390,2018-06-21
391,2018-06-22
392,2018-06-22
393,2018-06-22
394,2018-06-22
395,2018-06-22
396,2018-06-22
397,2018-06-22
398,2018-06-22
399,2018-06-22
400,2018-06-22
401,2018-06-22
402,2018-06-24
403,2018-06-25
404,2018-06-27
405,2018-06-29
406,2018-06-29
407,2018-06-29
408,2018-06-29
409,2018-06-29
410,2018-06-29
411,2018-06-29
412,2018-06-29
413,2018-06-29
414,2018-06-29
415,2018-06-29
416,2018-06-29
417,2018-06-29
418,2018-06-29
419,2018-06-29
420,2018-07-3
421,2018-07-4
422,2018-07-6
423,2018-07-6
424,2018-07-6
425,2018-07-6
426,2018-07-6
427,2018-07-6
428,2018-07-8
429,2018-07-10
430,2018-07-11
431,2018-07-11
432,2018-07-12
433,2018-07-13
434,2018-07-13
435,2018-07-13
436,2018-07-13
437,2018-07-13
438,2018-07-13
439,2018-07-13
440,2018-07-13
441,2018-07-13
442,2018-07-13
443,2018-07-13
444,2018-07-15
445,2018-07-18
446,2018-07-20
447,2018-07-20
448,2018-07-20
449,2018-07-20
450,2018-07-20
451,2018-07-20
452,2018-07-20
453,2018-07-20
454,2018-07-20
455,2018-07-20
456,2018-07-20
457,2018-07-20
458,2018-07-22
459,2018-07-22
460,2018-07-23
461,2018-07-24
462,2018-07-25
463,2018-07-26
464,2018-07-27
465,2018-07-27
466,2018-07-27
467,2018-07-27
468,2018-07-27
469,2018-07-27
470,2018-07-27
471,2018-07-27
472,2018-07-27
473,2018-07-28
474,2018-07-29
475,2018-08-1
476,2018-08-1
477,2018-08-1
478,2018-08-1
479,2018-08-1
480,2018-08-2
481,2018-08-3
482,2018-08-3
483,2018-08-3
484,2018-08-3
485,2018-08-3
486,2018-08-3
487,2018-08-3
488,2018-08-3
489,2018-08-3
490,2018-08-3
491,2018-08-4
492,2018-08-5
493,2018-08-7
494,2018-08-8
495,2018-08-9
496,2018-08-10
497,2018-08-10
498,2018-08-10
499,2018-08-10
500,2018-08-10
501,2018-08-10
502,2018-08-10
503,2018-08-10
504,2018-08-10
505,2018-08-10
506,2018-08-10
507,2018-08-10
508,2018-08-12
509,2018-08-14
510,2018-08-15
511,2018-08-16
512,2018-08-17
513,2018-08-17
514,2018-08-17
515,2018-08-17
516,2018-08-17
517,2018-08-17
518,2018-08-17
519,2018-08-17
520,2018-08-17
521,2018-08-17
522,2018-08-17
523,2018-08-17
524,2018-08-17
525,2018-08-17
526,2018-08-20
527,2018-08-21
528,2018-08-22
529,2018-08-23
530,2018-08-24
531,2018-08-24
532,2018-08-24
533,2018-08-24
534,2018-08-24
535,2018-08-24
536,2018-08-24
537,2018-08-24
538,2018-08-24
539,2018-08-24
540,2018-08-24
541,2018-08-24
542,2018-08-24
543,2018-08-24
544,2018-08-24
545,2018-08-26
546,2018-08-27
547,2018-08-28
548,2018-08-29
549,2018-08-30
550,2018-08-30
551,2018-08-31
552,2018-08-31
553,2018-08-31
554,2018-08-31
555,2018-08-31
556,2018-08-31
557,2018-08-31
558,2018-08-31
559,2018-08-31
560,2018-08-31
561,2018-09-2
562,2018-09-2
563,2018-09-2
564,2018-09-2
565,2018-09-2
566,2018-09-2
567,2018-09-2
568,2018-09-2
569,2018-09-5
570,2018-09-7
571,2018-09-7
572,2018-09-7
573,2018-09-7
574,2018-09-7
575,2018-09-7
576,2018-09-7
577,2018-09-7
578,2018-09-7
579,2018-09-7
580,2018-09-7
581,2018-09-9
582,2018-09-12
583,2018-09-13
584,2018-09-13
585,2018-09-14
586,2018-09-14
587,2018-09-14
588,2018-09-14
589,2018-09-14
590,2018-09-14
591,2018-09-14
592,2018-09-14
593,2018-09-14
594,2018-09-14
595,2018-09-14
596,2018-09-14
597,2018-09-14
598,2018-09-14
599,2018-09-14
600,2018-09-14
601,2018-09-14
602,2018-09-14
603,2018-09-14
604,2018-09-14
605,2018-09-14
606,2018-09-15
607,2018-09-15
608,2018-09-16
609,2018-09-19
610,2018-09-19
611,2018-09-19
612,2018-09-20
